frame.number,frame.time_relative,eth.src,eth.dst,arp.opcode,arp.src.proto_ipv4,arp.dst.proto_ipv4,ip.src,ip.dst,ip.ttl,icmp.type,icmp.ident,icmp.seq
"1","0.000000000","02:42:d4:39:68:01","ff:ff:ff:ff:ff:ff","1","192.168.20.1","192.168.20.10",,,,,,
"2","0.000350000","00:50:79:66:68:02","02:42:d4:39:68:01","2","192.168.20.10","192.168.20.1",,,,,,
"3","0.000501000","02:42:d4:39:68:01","00:50:79:66:68:02",,,,"192.168.10.10","192.168.20.10","63","8","33888","1"
"4","0.000886000","00:50:79:66:68:02","02:42:d4:39:68:01",,,,"192.168.20.10","192.168.10.10","64","0","33888","1"
"5","1.002323000","02:42:d4:39:68:01","00:50:79:66:68:02",,,,"192.168.10.10","192.168.20.10","63","8","34144","2"
"6","1.002668000","00:50:79:66:68:02","02:42:d4:39:68:01",,,,"192.168.20.10","192.168.10.10","64","0","34144","2"
"7","2.004678000","02:42:d4:39:68:01","00:50:79:66:68:02",,,,"192.168.10.10","192.168.20.10","63","8","34400","3"
"8","2.005171000","00:50:79:66:68:02","02:42:d4:39:68:01",,,,"192.168.20.10","192.168.10.10","64","0","34400","3"
