frame.number,frame.time_relative,phase,eth.src,eth.dst,arp.opcode,arp.src.proto_ipv4,arp.dst.proto_ipv4,ip.src,ip.dst,ip.ttl,icmp.type
1,0.000000000,fault,02:42:d4:39:68:01,00:50:79:66:68:02,1,192.168.20.1,192.168.20.10,,,,
2,0.000688000,fault,00:50:79:66:68:02,02:42:d4:39:68:01,2,192.168.20.10,192.168.20.1,,,,
3,3.242644000,recovery,02:42:d4:39:68:01,00:50:79:66:68:02,,,,192.168.10.10,192.168.20.10,63,8
4,3.243023000,recovery,00:50:79:66:68:02,02:42:d4:39:68:01,,,,192.168.20.10,192.168.10.10,64,0
5,3.745182000,recovery,02:42:d4:39:68:01,00:50:79:66:68:02,,,,192.168.10.10,192.168.20.10,63,8
6,3.745642000,recovery,00:50:79:66:68:02,02:42:d4:39:68:01,,,,192.168.20.10,192.168.10.10,64,0
7,4.247517000,recovery,02:42:d4:39:68:01,00:50:79:66:68:02,,,,192.168.10.10,192.168.20.10,63,8
8,4.247929000,recovery,00:50:79:66:68:02,02:42:d4:39:68:01,,,,192.168.20.10,192.168.10.10,64,0
