frame.number,frame.time_relative,eth.src,eth.dst,arp.opcode,arp.src.proto_ipv4,arp.dst.proto_ipv4,ip.src,ip.dst,ip.ttl,icmp.type,icmp.ident,icmp.seq
"3","0.204744000","00:50:79:66:68:00","ff:ff:ff:ff:ff:ff","1","192.168.10.10","192.168.10.1",,,,,,
"4","0.205019000","02:42:d4:39:68:00","00:50:79:66:68:00","2","192.168.10.1","192.168.10.10",,,,,,
"5","0.205672000","00:50:79:66:68:00","02:42:d4:39:68:00",,,,"192.168.10.10","192.168.20.10","64","8","49248","1"
"6","0.207079000","02:42:d4:39:68:00","00:50:79:66:68:00",,,,"192.168.20.10","192.168.10.10","63","0","49248","1"
"8","1.208016000","00:50:79:66:68:00","02:42:d4:39:68:00",,,,"192.168.10.10","192.168.20.10","64","8","49504","2"
"9","1.208853000","02:42:d4:39:68:00","00:50:79:66:68:00",,,,"192.168.20.10","192.168.10.10","63","0","49504","2"
"10","2.210461000","00:50:79:66:68:00","02:42:d4:39:68:00",,,,"192.168.10.10","192.168.20.10","64","8","49760","3"
"11","2.211538000","02:42:d4:39:68:00","00:50:79:66:68:00",,,,"192.168.20.10","192.168.10.10","63","0","49760","3"
