frame.number,frame.time_relative,phase,eth.src,eth.dst,arp.opcode,arp.src.proto_ipv4,arp.dst.proto_ipv4,ip.src,ip.dst,ip.ttl,icmp.type
1,0.000000000,recovery,02:42:d4:39:68:01,00:50:79:66:68:02,,,,192.168.10.10,192.168.20.10,63,8
2,0.000484000,recovery,00:50:79:66:68:02,02:42:d4:39:68:01,,,,192.168.20.10,192.168.10.10,64,0
3,0.502610000,recovery,02:42:d4:39:68:01,00:50:79:66:68:02,,,,192.168.10.10,192.168.20.10,63,8
4,0.503114000,recovery,00:50:79:66:68:02,02:42:d4:39:68:01,,,,192.168.20.10,192.168.10.10,64,0
5,1.004949000,recovery,02:42:d4:39:68:01,00:50:79:66:68:02,,,,192.168.10.10,192.168.20.10,63,8
6,1.005546000,recovery,00:50:79:66:68:02,02:42:d4:39:68:01,,,,192.168.20.10,192.168.10.10,64,0
