frame.number,frame.time_relative,eth.src,eth.dst,arp.opcode,arp.src.proto_ipv4,arp.dst.proto_ipv4,ip.src,ip.dst,ip.ttl,icmp.type,icmp.ident,icmp.seq
"1","0.000000000","00:50:79:66:68:00","ff:ff:ff:ff:ff:ff","1","192.168.10.10","192.168.10.20",,,,,,
"2","0.000348000","00:50:79:66:68:01","00:50:79:66:68:00","2","192.168.10.20","192.168.10.10",,,,,,
"3","0.001048000","00:50:79:66:68:00","00:50:79:66:68:01",,,,"192.168.10.10","192.168.10.20","64","8","32608","1"
"4","0.001417000","00:50:79:66:68:01","00:50:79:66:68:00",,,,"192.168.10.20","192.168.10.10","64","0","32608","1"
"5","1.002267000","00:50:79:66:68:00","00:50:79:66:68:01",,,,"192.168.10.10","192.168.10.20","64","8","32864","2"
"6","1.002763000","00:50:79:66:68:01","00:50:79:66:68:00",,,,"192.168.10.20","192.168.10.10","64","0","32864","2"
"7","2.003632000","00:50:79:66:68:00","00:50:79:66:68:01",,,,"192.168.10.10","192.168.10.20","64","8","33120","3"
"8","2.004230000","00:50:79:66:68:01","00:50:79:66:68:00",,,,"192.168.10.20","192.168.10.10","64","0","33120","3"
