frame.number,frame.time_relative,eth.src,eth.dst,arp.opcode,arp.src.proto_ipv4,arp.dst.proto_ipv4,ip.src,ip.dst,ip.ttl,icmp.type,icmp.ident,icmp.seq
"1","0.000000000","02:42:d4:39:68:01","ff:ff:ff:ff:ff:ff","1","192.168.20.1","192.168.20.10",,,,,,
"2","0.000383000","00:50:79:66:68:02","02:42:d4:39:68:01","2","192.168.20.10","192.168.20.1",,,,,,
"3","0.000573000","02:42:d4:39:68:01","00:50:79:66:68:02",,,,"192.168.10.10","192.168.20.10","63","8","45664","1"
"4","0.000992000","00:50:79:66:68:02","02:42:d4:39:68:01",,,,"192.168.20.10","192.168.10.10","64","0","45664","1"
"5","1.002548000","02:42:d4:39:68:01","00:50:79:66:68:02",,,,"192.168.10.10","192.168.20.10","63","8","45920","2"
"6","1.002981000","00:50:79:66:68:02","02:42:d4:39:68:01",,,,"192.168.20.10","192.168.10.10","64","0","45920","2"
"7","2.004874000","02:42:d4:39:68:01","00:50:79:66:68:02",,,,"192.168.10.10","192.168.20.10","63","8","46176","3"
"8","2.005290000","00:50:79:66:68:02","02:42:d4:39:68:01",,,,"192.168.20.10","192.168.10.10","64","0","46176","3"
